date,description,amount,transaction_type,category,confidence
2024-01-05,Swiggy Order #84521,450.0,debit,Food and Dining,1.0
2024-01-07,Zomato Food Delivery,320.0,debit,Food and Dining,1.0
2024-01-08,IRCTC Train Booking PNR 2451678,1250.0,debit,Transportation,1.0
2024-01-10,Amazon Shopping Order,2999.0,debit,Shopping and Retail,1.0
2024-01-12,Netflix Subscription Renewal,649.0,debit,Entertainment and Subscriptions,1.0
2024-01-13,Practo Doctor Consultation,500.0,debit,Healthcare and Medical,1.0
2024-01-15,BookMyShow Movie Tickets,750.0,debit,Entertainment and Subscriptions,1.0
2024-01-15,Uber Ride to Airport,890.0,debit,Transportation,1.0
2024-01-17,Myntra Fashion Purchase,1799.0,debit,Shopping and Retail,1.0
2024-01-18,BigBasket Grocery Order,2150.0,debit,Shopping and Retail,1.0
2024-01-20,PhonePe Jio Recharge,399.0,debit,Utilities and Bills,1.0
2024-01-21,ATM Cash Withdrawal,5000.0,debit,Transfer and Banking,1.0
2024-01-22,Zerodha Mutual Fund SIP,5000.0,debit,Investment and Savings,1.0
2024-01-23,Bajaj Finserv EMI Payment,3500.0,debit,Loan and EMI,1.0
2024-01-25,Salary Credit - TCS Ltd,85000.0,credit,Income and Salary,1.0
2024-01-26,Flipkart Electronics Sale,4599.0,debit,Shopping and Retail,1.0
2024-01-27,Ola Cab Ride,245.0,debit,Transportation,1.0
2024-01-28,Airtel Broadband Bill,999.0,debit,Utilities and Bills,1.0
2024-01-29,Amazon Refund Order #7823,1500.0,credit,Income and Salary,1.0
2024-01-30,Spotify Premium Subscription,119.0,debit,Entertainment and Subscriptions,1.0
2024-02-01,House painting contractor charges,8500.0,debit,Utilities and Bills,0.4136
2024-02-03,Auto rickshaw to office,80.0,debit,Transportation,0.629
2024-02-05,Weekend brunch outing with friends,1200.0,debit,Food and Dining,0.841
2024-02-07,Plumber repair charges at home,650.0,debit,Utilities and Bills,0.7865
2024-02-10,Online course subscription fee,2999.0,debit,Entertainment and Subscriptions,0.5725
2024-02-12,Vegetable vendor weekly payment,540.0,debit,Transportation,0.1849
